,time.sampled,elapsed.time,std.ref
Guaymas-P10-5cm-notrt-lam-1-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-1-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-2-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-2-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-2-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-2-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-3-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-3-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-3-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-3-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-x-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-x-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-x-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-notrt-lam-x-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-1-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-1-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-1-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-1-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-2-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-2-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-2-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-2-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-3-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-3-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-3-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-3-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-x-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-x-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-x-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-chon-x-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-1-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-1-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-1-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-1-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-2-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-2-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-2-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-2-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-3-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-3-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-3-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-3-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-x-t0,4/2/15 13:35,0,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-x-t1,4/22/15 14:05,480.5,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-x-t2,5/14/15 13:25,1007.833333,stdbins-gpc3-052715
Guaymas-P10-5cm-trt-lam-x-t3,6/9/15 11:20,1629.75,stdbins-gpc3-052715
Guaymas-P13-55cm-notrt-chon-1-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-1-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-1-t2,11/3/15 16:40,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-1-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-2-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-2-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-2-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-2-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-3-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-3-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-3-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-3-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-x-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-x-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-x-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-chon-x-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-1-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-1-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-1-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-1-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
