,time.sampled,elapsed.time,std.ref
Guaymas-P13-55cm-notrt-lam-2-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-2-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-2-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-2-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-3-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-3-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-3-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-3-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-x-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-x-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-x-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-notrt-lam-x-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-1-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-1-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-1-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-1-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-2-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-2-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-2-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-2-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-3-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-3-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-3-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-3-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-x-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-x-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-x-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-chon-x-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-1-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-1-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-1-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-1-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-2-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-2-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-2-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-2-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-3-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-3-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-3-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-3-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-x-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-x-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-x-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-55cm-trt-lam-x-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-1-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-1-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-1-t2,11/3/15 16:40,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-1-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-2-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-2-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-2-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-2-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-3-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-3-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-3-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-3-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-x-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-x-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-x-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-chon-x-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-1-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-1-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-1-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-1-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-2-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-2-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-2-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-2-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-3-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-3-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-3-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-3-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-x-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-x-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-x-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-notrt-lam-x-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-1-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-1-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-1-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-1-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-2-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-2-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-2-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-2-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-3-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-3-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-3-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-3-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-x-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-x-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-x-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-chon-x-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-1-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-1-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-1-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-1-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-2-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-2-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-2-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-2-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-3-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-3-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-3-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-3-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-x-t0,9/22/15 15:50,0,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-x-t1,10/13/15 16:15,504.4166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-x-t2,11/3/15 16:00,1008.166667,stdbins-gpc2-110315
Guaymas-P13-5cm-trt-lam-x-t3,11/23/15 15:55,1488.083333,stdbins-gpc2-110315
Guaymas-P3-55cm-notrt-chon-1-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-1-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-1-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-1-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-2-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-2-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-2-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-2-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-3-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-3-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-3-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-3-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-x-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-x-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-x-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-chon-x-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-1-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-1-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-1-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-1-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-2-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-2-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-2-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-2-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-3-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-3-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-3-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-3-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-x-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-x-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-x-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-notrt-lam-x-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-1-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-1-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-1-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-2-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-2-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-2-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-3-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-3-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-3-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-x-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-x-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-chon-x-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-1-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-1-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-1-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-1-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-2-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-2-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-2-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-2-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-3-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-3-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-3-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-3-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-x-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-x-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-x-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-55cm-trt-lam-x-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-1-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-1-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-1-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-2-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-2-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-2-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-3-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-3-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-3-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-x-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-x-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-chon-x-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-1-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-1-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-1-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-1-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-2-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-2-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-2-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-2-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-3-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-3-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-3-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-3-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-x-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-x-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-x-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-notrt-lam-x-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-1-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-1-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-1-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-1-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-2-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-2-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-2-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-2-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-3-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-3-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-3-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-3-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-x-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-x-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-x-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-chon-x-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-1-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-1-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-1-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-1-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-2-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-2-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-2-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-2-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-3-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-3-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-3-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-3-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-x-t0,3/26/15 14:05,0,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-x-t1,4/16/15 14:10,504.0833333,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-x-t2,5/7/15 15:45,1009.666667,stdbins-gpc3-052715
Guaymas-P3-5cm-trt-lam-x-t3,6/2/15 13:30,1631.416667,stdbins-gpc3-052715
Guaymas-P5-55cm-notrt-chon-1-t0,7/3/15 15:45,0,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-1-t1,7/23/15 13:00,477.25,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-1-t2,8/5/15 11:30,787.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-1-t3,9/3/15 13:30,1485.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-2-t0,7/3/15 15:45,0,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-2-t1,7/23/15 13:00,477.25,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-2-t2,8/5/15 11:30,787.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-2-t3,9/3/15 13:30,1485.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-3-t0,7/3/15 15:45,0,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-3-t1,7/23/15 13:00,477.25,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-3-t2,8/5/15 11:30,787.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-3-t3,9/3/15 13:30,1485.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-x-t0,7/3/15 15:45,0,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-x-t1,7/23/15 13:00,477.25,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-x-t2,8/5/15 11:30,787.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-chon-x-t3,9/3/15 13:30,1485.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-1-t0,7/3/15 15:45,0,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-1-t1,7/23/15 13:00,477.25,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-1-t2,8/5/15 11:30,787.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-1-t3,9/3/15 13:30,1485.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-2-t0,7/3/15 15:45,0,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-2-t1,7/23/15 13:00,477.25,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-2-t2,8/5/15 11:30,787.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-2-t3,9/3/15 13:30,1485.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-3-t0,7/3/15 15:45,0,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-3-t1,7/23/15 13:00,477.25,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-3-t2,8/5/15 11:30,787.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-3-t3,9/3/15 13:30,1485.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-x-t0,7/3/15 15:45,0,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-x-t1,7/23/15 13:00,477.25,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-x-t2,8/5/15 11:30,787.75,stdbins-gpc1-110515
Guaymas-P5-55cm-notrt-lam-x-t3,9/3/15 13:30,1485.75,stdbins-gpc1-110515
Guaymas-P5-55cm-trt-chon-1-t0,7/3/15 15:45,0,stdbins-gpc1-110515
Guaymas-P5-55cm-trt-chon-1-t1,7/23/15 13:00,477.25,stdbins-gpc1-110515
Guaymas-P5-55cm-trt-chon-1-t2,8/5/15 11:30,787.75,stdbins-gpc1-110515
Guaymas-P5-55cm-trt-chon-1-t3,9/3/15 13:30,1485.75,stdbins-gpc1-110515
Guaymas-P5-55cm-trt-chon-2-t0,7/3/15 15:45,0,stdbins-gpc1-110515
Guaymas-P5-55cm-trt-chon-2-t1,7/23/15 13:00,477.25,stdbins-gpc1-110515
Guaymas-P5-55cm-trt-chon-2-t2,8/5/15 11:30,787.75,stdbins-gpc1-110515
